"Country";"Year";"Age";"Medal";"Sex";"Season";"Count"
CHN;1932;22;NA;M;Summer;2
CHN;1936;17;NA;F;Summer;2
CHN;1936;18;NA;M;Summer;1
CHN;1936;19;NA;M;Summer;1
CHN;1936;20;NA;M;Summer;4
CHN;1936;21;NA;M;Summer;7
CHN;1936;22;NA;M;Summer;6
CHN;1936;22;NA;F;Summer;1
CHN;1936;23;NA;M;Summer;12
CHN;1936;24;NA;M;Summer;13
CHN;1936;25;NA;M;Summer;4
CHN;1936;26;NA;M;Summer;3
CHN;1936;27;NA;M;Summer;4
CHN;1936;28;NA;M;Summer;1
CHN;1936;29;NA;M;Summer;3
CHN;1936;30;NA;M;Summer;3
CHN;1948;-1;NA;M;Summer;23
CHN;1948;19;NA;M;Summer;1
CHN;1948;23;NA;M;Summer;1
CHN;1948;26;NA;M;Summer;1
CHN;1948;27;NA;M;Summer;1
CHN;1948;32;NA;M;Summer;1
CHN;1952;23;NA;M;Summer;1
CHN;1980;14;NA;M;Winter;1
CHN;1980;14;NA;F;Winter;1
CHN;1980;17;NA;F;Winter;1
CHN;1980;18;NA;F;Winter;4
CHN;1980;19;NA;F;Winter;8
CHN;1980;20;NA;M;Winter;2
CHN;1980;21;NA;M;Winter;2
CHN;1980;21;NA;F;Winter;1
CHN;1980;22;NA;M;Winter;3
CHN;1980;22;NA;F;Winter;1
CHN;1980;23;NA;M;Winter;6
CHN;1980;24;NA;M;Winter;1
CHN;1980;29;NA;M;Winter;5
CHN;1980;32;NA;M;Winter;2
CHN;1984;15;NA;F;Summer;5
CHN;1984;15;Bronze;F;Summer;1
CHN;1984;16;NA;F;Summer;14
CHN;1984;16;Bronze;F;Summer;2
CHN;1984;17;NA;M;Winter;1
CHN;1984;17;NA;F;Summer;3
CHN;1984;17;Bronze;F;Summer;1
CHN;1984;18;NA;M;Summer;8
CHN;1984;18;NA;M;Winter;1
CHN;1984;18;NA;F;Summer;5
CHN;1984;18;NA;F;Winter;4
CHN;1984;18;Bronze;F;Summer;1
CHN;1984;18;Silver;F;Summer;1
CHN;1984;19;NA;M;Summer;6
CHN;1984;19;NA;M;Winter;2
CHN;1984;19;NA;F;Summer;5
CHN;1984;19;NA;F;Winter;7
CHN;1984;19;Gold;M;Summer;2
CHN;1984;19;Gold;F;Summer;1
CHN;1984;19;Bronze;F;Summer;1
CHN;1984;19;Silver;M;Summer;1
CHN;1984;20;NA;M;Summer;16
CHN;1984;20;NA;M;Winter;2
CHN;1984;20;NA;F;Summer;5
CHN;1984;20;NA;F;Winter;5
CHN;1984;20;Gold;M;Summer;4
CHN;1984;20;Bronze;M;Summer;1
CHN;1984;20;Bronze;F;Summer;4
CHN;1984;20;Silver;M;Summer;4
CHN;1984;21;NA;M;Summer;41
CHN;1984;21;NA;M;Winter;8
CHN;1984;21;NA;F;Summer;16
CHN;1984;21;NA;F;Winter;2
CHN;1984;21;Gold;F;Summer;6
CHN;1984;21;Bronze;M;Summer;2
CHN;1984;21;Bronze;F;Summer;8
CHN;1984;21;Silver;M;Summer;3
CHN;1984;22;NA;M;Summer;16
CHN;1984;22;NA;M;Winter;4
CHN;1984;22;NA;F;Summer;3
CHN;1984;22;NA;F;Winter;5
CHN;1984;22;Gold;F;Summer;1
CHN;1984;22;Bronze;F;Summer;2
CHN;1984;22;Silver;M;Summer;1
CHN;1984;23;NA;M;Summer;15
CHN;1984;23;NA;M;Winter;4
CHN;1984;23;NA;F;Summer;6
CHN;1984;23;NA;F;Winter;8
CHN;1984;23;Gold;F;Summer;2
CHN;1984;23;Bronze;M;Summer;1
CHN;1984;23;Bronze;F;Summer;3
CHN;1984;23;Silver;M;Summer;2
CHN;1984;24;NA;M;Summer;11
CHN;1984;24;NA;M;Winter;2
CHN;1984;24;NA;F;Summer;2
CHN;1984;24;Gold;M;Summer;1
CHN;1984;24;Bronze;F;Summer;2
CHN;1984;25;NA;M;Summer;12
CHN;1984;25;NA;M;Winter;6
CHN;1984;25;NA;F;Summer;3
CHN;1984;25;Bronze;M;Summer;1
CHN;1984;25;Bronze;F;Summer;1
CHN;1984;26;NA;M;Summer;21
CHN;1984;26;NA;M;Winter;6
CHN;1984;26;NA;F;Summer;2
CHN;1984;26;Gold;M;Summer;3
CHN;1984;26;Gold;F;Summer;2
CHN;1984;26;Bronze;F;Summer;4
CHN;1984;26;Silver;M;Summer;1
CHN;1984;27;NA;M;Summer;17
CHN;1984;27;NA;M;Winter;1
CHN;1984;27;NA;F;Summer;4
CHN;1984;27;Gold;F;Summer;2
CHN;1984;27;Bronze;F;Summer;2
CHN;1984;28;NA;M;Summer;4
CHN;1984;28;NA;M;Winter;2
CHN;1984;28;NA;F;Summer;1
CHN;1984;29;NA;M;Summer;5
CHN;1984;30;NA;M;Summer;1
CHN;1988;11;NA;F;Winter;1
CHN;1988;14;NA;F;Summer;2
CHN;1988;14;Silver;M;Summer;1
CHN;1988;15;NA;F;Summer;12
CHN;1988;15;Silver;F;Summer;1
CHN;1988;16;NA;F;Summer;7
CHN;1988;16;Silver;F;Summer;2
CHN;1988;17;NA;M;Summer;3
CHN;1988;17;NA;F;Summer;32
CHN;1988;17;Gold;F;Summer;1
CHN;1988;17;Bronze;F;Summer;1
CHN;1988;18;NA;M;Summer;2
CHN;1988;18;NA;M;Winter;1
CHN;1988;18;NA;F;Summer;7
CHN;1988;18;NA;F;Winter;4
CHN;1988;18;Gold;F;Summer;1
CHN;1988;18;Silver;F;Summer;1
CHN;1988;19;NA;M;Summer;16
CHN;1988;19;NA;F;Summer;7
CHN;1988;19;Gold;F;Summer;1
CHN;1988;19;Bronze;F;Summer;3
CHN;1988;19;Silver;F;Summer;3
CHN;1988;20;NA;M;Summer;22
CHN;1988;20;NA;M;Winter;3
CHN;1988;20;NA;F;Summer;11
CHN;1988;20;Bronze;M;Summer;1
CHN;1988;20;Bronze;F;Summer;3
CHN;1988;20;Silver;F;Summer;1
CHN;1988;21;NA;M;Summer;14
CHN;1988;21;NA;M;Winter;3
CHN;1988;21;NA;F;Summer;10
CHN;1988;21;Bronze;M;Summer;2
CHN;1988;21;Bronze;F;Summer;2
CHN;1988;22;NA;M;Summer;14
CHN;1988;22;NA;F;Summer;9
CHN;1988;22;NA;F;Winter;1
CHN;1988;22;Bronze;F;Summer;1
CHN;1988;23;NA;M;Summer;30
CHN;1988;23;NA;F;Summer;12
CHN;1988;23;Gold;M;Summer;1
CHN;1988;23;Bronze;M;Summer;1
CHN;1988;23;Silver;M;Summer;2
CHN;1988;24;NA;M;Summer;26
CHN;1988;24;NA;F;Summer;12
CHN;1988;24;NA;F;Winter;2
CHN;1988;24;Gold;M;Summer;1
CHN;1988;24;Bronze;M;Summer;2
CHN;1988;24;Bronze;F;Summer;4
CHN;1988;24;Silver;F;Summer;3
CHN;1988;25;NA;M;Summer;42
CHN;1988;25;NA;F;Summer;14
CHN;1988;25;Bronze;F;Summer;5
CHN;1988;25;Silver;M;Summer;1
CHN;1988;26;NA;M;Summer;16
CHN;1988;26;NA;F;Summer;5
CHN;1988;26;Gold;M;Summer;1
CHN;1988;26;Bronze;F;Summer;1
CHN;1988;27;NA;M;Summer;7
CHN;1988;27;NA;F;Summer;6
CHN;1988;27;Bronze;F;Summer;1
CHN;1988;28;NA;M;Summer;10
CHN;1988;28;NA;F;Summer;1
CHN;1988;29;NA;M;Summer;5
CHN;1988;29;Bronze;F;Summer;1
CHN;1988;30;NA;M;Summer;3
CHN;1988;30;NA;F;Summer;2
CHN;1988;31;NA;M;Summer;3
CHN;1988;31;NA;F;Summer;3
CHN;1988;31;Bronze;M;Summer;1
CHN;1988;31;Bronze;F;Summer;1
CHN;1988;31;Silver;F;Summer;1
CHN;1988;32;NA;M;Summer;3
CHN;1988;32;NA;F;Summer;1
CHN;1988;33;NA;F;Summer;1
CHN;1988;34;NA;M;Summer;3
CHN;1992;13;Gold;F;Summer;1
CHN;1992;14;NA;F;Summer;1
CHN;1992;15;NA;F;Summer;14
CHN;1992;15;NA;F;Winter;1
CHN;1992;15;Gold;F;Summer;1
CHN;1992;15;Silver;F;Summer;2
CHN;1992;16;NA;F;Summer;2
CHN;1992;16;NA;F;Winter;3
CHN;1992;16;Gold;M;Summer;1
CHN;1992;17;NA;M;Winter;5
CHN;1992;17;NA;F;Summer;23
CHN;1992;17;NA;F;Winter;4
CHN;1992;17;Silver;F;Summer;1
CHN;1992;18;NA;M;Summer;14
CHN;1992;18;NA;M;Winter;1
CHN;1992;18;NA;F;Summer;9
CHN;1992;18;Gold;M;Summer;1
CHN;1992;18;Bronze;M;Summer;2
CHN;1992;18;Silver;M;Summer;2
CHN;1992;19;NA;M;Summer;6
CHN;1992;19;NA;F;Summer;10
CHN;1992;19;NA;F;Winter;2
CHN;1992;19;Gold;F;Summer;3
CHN;1992;19;Bronze;M;Summer;1
CHN;1992;19;Bronze;F;Summer;1
CHN;1992;19;Silver;F;Summer;4
CHN;1992;20;NA;M;Summer;13
CHN;1992;20;NA;F;Summer;17
CHN;1992;20;NA;F;Winter;9
CHN;1992;20;Gold;F;Summer;1
CHN;1992;20;Bronze;M;Summer;1
CHN;1992;20;Bronze;F;Summer;1
CHN;1992;20;Silver;M;Summer;1
CHN;1992;20;Silver;F;Summer;1
CHN;1992;21;NA;M;Summer;15
CHN;1992;21;NA;F;Summer;21
CHN;1992;21;NA;F;Winter;3
CHN;1992;21;Gold;F;Summer;3
CHN;1992;21;Bronze;F;Summer;1
CHN;1992;21;Silver;M;Summer;1
CHN;1992;21;Silver;F;Summer;2
CHN;1992;22;NA;M;Summer;20
CHN;1992;22;NA;M;Winter;3
CHN;1992;22;NA;F;Summer;10
CHN;1992;22;NA;F;Winter;6
CHN;1992;22;Bronze;M;Summer;1
CHN;1992;22;Bronze;F;Summer;3
CHN;1992;22;Silver;M;Summer;3
CHN;1992;22;Silver;F;Summer;4
CHN;1992;23;NA;M;Summer;26
CHN;1992;23;NA;F;Summer;6
CHN;1992;23;NA;F;Winter;12
CHN;1992;23;Gold;M;Summer;1
CHN;1992;23;Gold;F;Summer;2
CHN;1992;23;Bronze;F;Summer;1
CHN;1992;23;Silver;M;Summer;1
CHN;1992;23;Silver;F;Summer;4
CHN;1992;23;Silver;F;Winter;1
CHN;1992;24;NA;M;Summer;25
CHN;1992;24;NA;M;Winter;9
CHN;1992;24;NA;F;Summer;6
CHN;1992;24;Gold;M;Summer;1
CHN;1992;24;Gold;F;Summer;2
